2,2,13476.8990
2,3,21240.8712
2,4,48434.7428
2,5,44331.0257
2,6,63207.9038
2,7,93190.9985
2,8,96637.4884
2,9,122515.8321
2,10,152642.5069
2,11,165881.4949
2,12,163576.4638

3,2,15595.7293
3,3,29965.8118
3,4,67995.3924
3,5,66604.8573
3,6,105715.0107
3,7,139698.9834
3,8,157409.5524
3,9,177675.3216
3,10,197453.0039
3,11,225747.0079
3,12,252213.1895

4,2,18258.7759
4,3,32440.3924
4,4,59012.0090
4,5,75413.1350
4,6,112149.1535
4,7,121217.7531
4,8,143797.0766
4,9,165762.9976
4,10,192725.4553
4,11,214730.8646
4,12,227452.7689

5,2,17867.9456
5,3,39642.9043
5,4,78134.6320
5,5,107266.3710
5,6,131409.8779
5,7,167007.2755
5,8,185346.0677
5,9,215713.8755
5,10,247285.2575
5,11,270542.4173
5,12,300680.9098

6,2,26454.7721
6,3,39191.4017
6,4,82440.9632
6,5,105656.2328
6,6,138165.5077
6,7,172539.3077
6,8,192988.6269
6,9,226926.9980
6,10,248216.0349
6,11,281331.1760
6,12,299946.8780

7,2,25968.9822
7,3,44970.4391
7,4,79634.9873
7,5,112989.2219
7,6,154124.3255
7,7,209090.9367
7,8,227981.0157
7,9,277104.1046
7,10,307029.7959
7,11,328644.9042
7,12,361789.3805

8,2,26039.6731
8,3,43066.2644
8,4,73326.9476
8,5,104887.5446
8,6,136577.1954
8,7,165886.7186
8,8,185149.6076
8,9,223144.1399
8,10,245787.3613
8,11,286837.2641
8,12,310704.0112

